0,10852.0,10890,10900,12200
1,10875.0,10920,10930,11430
2,10873.0,11100,11110,11480
3,10885.0,11090,11100,11690
4,10886.0,10970,10980,11000
5,10886.0,10930,10940,12190
6,10891.0,10970,10980,11650
7,10899.0,11010,11020,11050
8,10904.0,10950,10960,11960
9,10900.0,10920,10930,11440
10,10905.0,11060,11070,11780
11,10901.0,11200,11210,11240
12,10900.0,10970,10970,11510
13,10903.0,10980,10990,11020
14,10913.0,11040,11050,11390
15,10915.0,11040,11050,11590
16,10914.0,11010,11020,11230
17,10911.0,10960,10970,11250
18,10912.0,10970,10980,11650
19,10911.0,10980,10990,11610
20,10916.0,11630,11640,12280
21,10916.0,11000,11010,11420
22,10921.0,11090,11100,11130
23,10923.0,10970,10980,11600
24,10922.0,11290,11300,12250
25,10927.0,11020,11030,11740
26,10922.0,10990,11000,11430
27,10927.0,11060,11070,11090
28,10929.0,10990,11000,11610
29,10926.0,11210,11220,11240
30,10920.0,11050,11060,11400
31,10924.0,10950,10950,11380
32,10925.0,11040,11050,11580
33,10929.0,11370,11380,11480
34,10927.0,11040,11050,12040
35,10926.0,10980,10990,11390
36,10928.0,11010,11020,11160
37,10922.0,10980,10990,12130
38,10924.0,11030,11040,11430
39,10924.0,11040,11050,11080
40,10922.0,11010,11020,11390
41,10929.0,11010,11020,11580
42,10929.0,10960,10970,10990
43,10929.0,10960,10970,11680
44,10936.0,11060,11070,11200
45,10937.0,11010,11020,11570
46,10935.0,11490,11500,12220
47,10931.0,11060,11070,11600
48,10936.0,11060,11070,11530
49,10932.0,11100,11110,11370
50,10934.0,10990,11000,11340
51,10936.0,10950,10950,11190
52,10937.0,10970,10980,11150
53,10937.0,11160,11170,11620
54,10930.0,10990,11000,12100
55,10931.0,11050,11060,11530
56,10936.0,10950,10950,11030
57,10934.0,10970,10980,11780
58,10932.0,11900,11910,12300
59,10932.0,10950,10950,11160
60,10931.0,11040,11050,12530
61,10933.0,11230,11240,11350
62,10933.0,10980,10990,11840
63,10930.0,11010,11020,11520
64,10931.0,11170,11180,11680
65,10930.0,10970,10980,11010
66,10935.0,11000,11010,11040
67,10933.0,10960,10970,11000
68,10939.0,11020,11030,11370
69,10934.0,10980,10990,11400
70,10931.0,11050,11060,11140
71,10932.0,10980,10990,11040
72,10940.0,10990,11000,11370
73,10949.0,10990,11000,11940
74,10949.0,11070,11080,11310
75,10942.0,11190,11200,11320
76,10949.0,10980,10990,11220
77,10946.0,11090,11100,11380
78,10944.0,11080,11090,11740
79,10944.0,10990,11000,12240
80,10945.0,11510,11520,11620
81,10940.0,11000,11010,11230
82,10947.0,11030,11040,11070
83,10949.0,11050,11060,11760
84,10946.0,10970,10970,13910
85,10944.0,11120,11130,11600
86,10944.0,11030,11040,11060
87,10941.0,11120,11130,11470
88,10945.0,11020,11030,12460
89,10944.0,11010,11020,11270
90,10946.0,11010,11020,11480
91,10943.0,11020,11030,12120
92,10949.0,10970,10970,11220
93,10943.0,11010,11020,12550
94,10958.0,11290,11300,11510
95,10950.0,11080,11090,12210
96,10958.0,11100,11110,11140
97,10950.0,11340,11350,11900
98,10954.0,11000,11010,11860
99,10959.0,11030,11040,11600
100,10953.0,11170,11180,11210
101,10957.0,10990,11000,11330
102,10952.0,11160,11170,11930
103,10954.0,10990,11000,11450
104,10950.0,11050,11060,11500
105,10955.0,11030,11040,11060
106,10955.0,11150,11160,11480
107,10957.0,11000,11010,11510
108,10958.0,11130,11140,11640
109,10950.0,11090,11100,11130
110,10952.0,11000,11010,11040
111,10953.0,11010,11020,11410
112,10954.0,11020,11030,12030
113,10956.0,11020,11030,11880
114,10967.0,11070,11080,11520
115,10967.0,11010,11020,12140
116,10967.0,11100,11110,11170
117,10966.0,11050,11060,11330
